query_id,language,query,tool_labels,difficulty
RT160976,hu,"Családdal utazom. Keress Italian éttermet Innsbruck városában 54 EUR/fő alatt. Arra is szükségem van, hogy mit érdemes tudnom Innsbruck városáról indulás előtt? Nem szeretnék felesleges kerülőket.",location|restaurant,multi
RT013418,en,"I'm putting together my itinerary. Estimate public transport costs in Hamburg for 1 days. While you're at it, show accommodation in Hamburg for 1 nights with a nightly cap of 90 EUR.",hotel|transport,multi
RT189415,hu,milyen tömegközlekedési bérletet érdemes venni thessaloniki városában 6 napra?,transport,single
RT103959,hu,Gyors utazási kérdés: Autó nélkül hogyan járjam be Gdansk városát? Ezután mivel töltenél el egy fél napot Gdansk városában?,attractions|transport,multi
RT111832,hu,"Keress 10 EUR alatti belépőjű látnivalókat Porto városában. És keress vegan éttermet Porto városában 33 EUR/fő alatt. Ha már itt tartunk, adj alapvető helyi tudnivalókat Porto városáról. Legyen inkább praktikus a válasz.",attractions|location|restaurant,multi
RT160864,en,"I prefer practical options. Help me shortlist hotels in Skopje: 5 nights, max 190 EUR/night.",hotel,single
RT079165,en,What transit pass makes sense in Zagreb for 6 days? Please use the constraints above.,transport,single
RT235570,hu,"Mely látnivalókat priorizálnád Edinburgh városában? Arra is szükségem van, hogy milyen pénz, nyelv és időzóna van Edinburgh városában? Továbbá még nincs szállásom Edinburgh városában: 4 éj, 200 EUR/éj.",attractions|hotel|location,multi
RT023455,hu,Egy gyakorlati kérdés: Ajánlj 4.2+ értékelésű szállást Geneva városában 70 EUR alatt.,hotel,single
RT046635,hu,Gyors utazási kérdés: Számolj közlekedési keretet Nicosia városára 5 napra. Továbbá ajánlj 4.5+ értékelésű szállást Nicosia városában 230 EUR alatt.,hotel|transport,multi
RT155937,hu,"Még ebben a hónapban készülök. Az ár-érték arány fontosabb a luxusnál. Mielőtt mindent lefoglalok, Várható eső Porto környékén a 7 napos utam alatt?",weather,single
RT218128,en,"I'm travelling with family. I still need lodging in Berlin; 4 nights, budget 210 EUR/night. I also need this: what's the sensible transit setup for Berlin?",hotel|transport,multi
RT109852,en,"Help me plan this properly. Help me shortlist hotels in Gdansk: 10 nights, max 100 EUR/night.",hotel,single
RT234338,en,A practical question: Which sights would you prioritise in Hamburg? This is for a first visit.,attractions,single
RT108101,en,"I'm planning this for a spring break. Show accommodation in Bratislava for 3 nights with a nightly cap of 100 EUR.; find museums, parks or historic places in Bratislava. Next, give me dinner options in Bratislava with a budget around 15 EUR.",attractions|hotel|restaurant,multi
RT000539,en,"It's a short city break. For an upcoming city break, Show accommodation in Malta for 7 nights with a nightly cap of 140 EUR. And give me destination facts for Malta. Next, check the forecast in Malta for my 7-day stay. No restaurant suggestions are needed.",hotel|location|weather,multi
RT210233,hu,Jövő héten készülök. Szeretném rendesen megtervezni az utat. Mi a legegyszerűbb helyi közlekedés Zurich városában 6 napra?,transport,single
RT222573,en,"For an upcoming city break, What is actually worth seeing in Bucharest? Next, where can I stay in Bucharest for 4 nights on at most 120 EUR each night?",attractions|hotel,multi
RT219226,en,This is a first visit. I'm putting together my itinerary. Do I need a coat or umbrella for Ljubljana on a 5-day trip?,weather,single
RT228808,hu,"Egy tavaszi kiruccanásra készülök. Mielőtt mindent lefoglalok, Még nincs szállásom Dublin városában: 8 éj, 120 EUR/éj.",hotel,single
RT134410,hu,Hol lehet jót enni Luxembourg városában? Emellett keress 25 EUR alatti belépőjű látnivalókat Luxembourg városában. Ezután nézd meg Luxembourg 9 napos időjárás-előrejelzését. Tartsd be a fenti kereteket.,attractions|restaurant|weather,multi
RT081367,en,"Suggest somewhere good to eat in Innsbruck. On top of that, what's the weather looking like in Innsbruck for 5 days?",restaurant|weather,multi
RT007190,hu,Még ebben a hónapban készülök. Szeretnék viszonylag központi helyeket. Utazást tervezek. Mit érdemes megnézni Geneva városában? És hogyan közlekedjek Geneva városában 4 napig? Első alkalommal megyek.,attractions|transport,multi
RT058814,hu,"Egy közelgő útra készülök. Keress szállást Oslo városában 8 éjszakára, 110 EUR/éj alatt.",hotel,single
RT101445,en,"I'm putting together my itinerary. Compare local public-transport tickets in Zagreb for a 8-day trip. On top of that, is Zagreb likely to be rainy during a 8-day visit?",transport|weather,multi
RT013959,en,A practical question: I want culture and interesting sights in Dublin; what do you recommend? A short ranked list is enough.,attractions,single
RT003016,hu,Az ár-érték arány fontosabb a luxusnál. Mennyibe kerül a helyi közlekedés Bucharest városában 8 napra? Ezután milyen idő várható Bucharest városában 8 napig? Végül hol egyek Bucharest városában körülbelül 48 EUR/fő keretből? Első alkalommal megyek.,restaurant|transport|weather,multi
RT096071,en,I'm planning this later this month. I'm planning a trip. Show accommodation in Nice for 6 nights with a nightly cap of 200 EUR. Then is Nice likely to be rainy during a 6-day visit? I also need this: what should I know about Nice before I arrive?,hotel|location|weather,multi
RT015952,hu,Még ebben a hónapban készülök. Számolj közlekedési keretet Nicosia városára 1 napra. Nem szeretnék felesleges kerülőket.,transport,single
RT192754,hu,Gyors utazási kérdés: Készíts rövid felfedeznivaló-listát Bucharest városához. És mutass seafood helyeket Bucharest városában.,attractions|restaurant,multi
RT162744,hu,"Keress 15 EUR alatti belépőjű látnivalókat Berlin városában.; keress szállást Berlin városában 9 éjszakára, 180 EUR/éj alatt. Rövid, rangsorolt lista is elég. Étteremajánlásra nincs szükségem.",attractions|hotel,multi
RT228108,en,I'm planning this later this month. Is outdoor sightseeing sensible in Amsterdam over the next 10 days? I prefer practical options.,weather,single
RT039143,hu,"Épp összeállítom a programomat. Milyen tömegközlekedési bérletet érdemes venni Belgrade városában 10 napra? A szállás már megvan, hotelt ne keress.",transport,single
RT122680,en,Where can I sleep in Milan for 2 nights without going over 170 EUR a night? I also need this: check the forecast in Milan for my 2-day stay. A short ranked list is enough.,hotel|weather,multi
RT093247,en,"What should I know about Paris before I arrive? Then i need food recommendations in Paris; keep meals below 36 EUR. Then estimate public transport costs in Paris for 6 days. I already booked my hotel, so don't search accommodation.",location|restaurant|transport,multi
RT186778,hu,"Mielőtt mindent lefoglalok, Mit érdemes megnézni Salzburg városában? Ha már itt tartunk, milyen hőmérsékletre és csapadékra számítsak Salzburg városában? Emellett milyen tömegközlekedési bérletet érdemes venni Salzburg városában 2 napra?",attractions|transport|weather,multi
RT114124,en,I'm planning this this weekend. Help me plan this properly. Give me temperatures and rain chances for Helsinki for 4 days. I'd rather avoid unnecessary detours.,weather,single
RT216331,en,"I'm planning this for an upcoming trip. I'd like to stay fairly central. A practical question: Where can I stay in Copenhagen for 5 nights on at most 120 EUR each night? Next, find a few places to eat in Copenhagen, ideally Indian.",hotel|restaurant,multi
RT153676,hu,"Egyedül utazom. Milyen tömegközlekedési bérletet érdemes venni Salzburg városában 2 napra? Ha már itt tartunk, melyik országban van Salzburg, és milyen pénzt használnak? Első alkalommal megyek.",location|transport,multi
RT130630,hu,"Szeretném rendesen megtervezni az utat. Ajánlj múzeumokat és nevezetességeket Split városában. Továbbá adj alapvető helyi tudnivalókat Split városáról. A szállás már megvan, hotelt ne keress.",attractions|location,multi
RT068848,hu,"Inkább praktikus megoldásokat keresek. Utazást tervezek. Nézd meg Madrid 1 napos időjárás-előrejelzését. Ezután keress szállást Madrid városában 1 éjszakára, 150 EUR/éj alatt.",hotel|weather,multi
RT196744,en,Shortlist a place to sleep in Luxembourg for 10 nights; ceiling 220 EUR nightly. I also need this: what's the easiest way to travel locally in Luxembourg for 10 days?,hotel|transport,multi
RT069322,hu,"Épp összeállítom a programomat. Mutass szobákat Sofia városában 5 éjre legfeljebb 190 euróért. Emellett melyik országban van Sofia, és milyen pénzt használnak?",hotel|location,multi
RT093965,en,"I'm planning this next week. Suggest places worth visiting in Tirana with tickets under 45 EUR. On top of that, help me shortlist hotels in Tirana: 10 nights, max 90 EUR/night. Please keep the answer concise.",attractions|hotel,multi
RT141010,en,"I'm planning this for a spring break. How should I get around Nicosia for 5 days? While you're at it, will I need an umbrella in Nicosia over the next 5 days?",transport|weather,multi
RT077129,en,"Show metro, bus and pass options for Innsbruck. Please use the constraints above.",transport,single
RT112004,en,"I care more about value than luxury. Help me plan this properly. Give me the practical basics for London: currency, language and timezone. I already booked my hotel, so don't search accommodation.",location,single
RT058290,hu,"Jövő héten készülök. Rugalmas programot szeretnék. Mielőtt mindent lefoglalok, Keress szállást Vilnius városában 8 éjszakára, 100 EUR/éj alatt. Arra is szükségem van, hogy milyen nyelvre és pénznemre készüljek Vilnius városában? Ezután milyen idő várható Vilnius városában 8 napig? És autó nélkül hogyan járjam be Vilnius városát?",hotel|location|transport|weather,multi
RT031181,hu,Egy rövid utazásra készülök. Épp összeállítom a programomat. Keress 20 EUR alatti belépőjű látnivalókat Porto városában.,attractions,single
RT112702,en,"Quick travel question: Find museums, parks or historic places in Istanbul. Next, find restaurants in Istanbul, preferably vegan, rated at least 3.8.",attractions|restaurant,multi
RT062119,hu,"Jövő héten készülök. Rugalmas programot szeretnék. Hol lehet jót enni Ljubljana városában? Arra is szükségem van, hogy mit érdemes tudnom Ljubljana városáról indulás előtt? Tartsd be a fenti kereteket.",location|restaurant,multi
RT079161,en,This is a first visit. Check the forecast in Bologna for my 8-day stay.,weather,single
RT212788,hu,Hol vacsorázzak Bratislava városában 39 euró körüli kerettel? Továbbá mennyire lesz meleg vagy esős Bratislava a 8 napos kiruccanás alatt? Nem szeretnék felesleges kerülőket.,restaurant|weather,multi
RT185433,hu,Egy közelgő útra készülök. Utazást tervezek. Mutass legalább 3.8 értékelésű éttermeket Bratislava városában.,restaurant,single
RT127499,hu,Most járok ott először. Számolj közlekedési keretet Tallinn városára 4 napra. Végül milyen nyelvre és pénznemre készüljek Tallinn városában? Továbbá mit érdemes megnézni Tallinn városában?,attractions|location|transport,multi
RT116082,hu,"Milyen parkok, múzeumok és történelmi helyek vannak Belgrade városában? Végül autó nélkül hogyan járjam be Belgrade városát?",attractions|transport,multi
RT097203,en,"I'm putting together my itinerary. Find museums, parks or historic places in Skopje. On top of that, which country, currency and language should I expect in Skopje? A short ranked list is enough.",attractions|location,multi
RT185586,en,"Can I move around Brussels without a car, and what will it cost for 1 days? Please keep the answer concise. No restaurant suggestions are needed.",transport,single
RT184020,en,"Before I book the rest of the trip, I'm packing for Sofia; what conditions should I expect for 8 days?",weather,single
RT233812,en,What conditions should I plan around in Vilnius for 2 days?,weather,single
RT106597,en,"It's a short city break. I'm planning a trip. What's the weather looking like in Stockholm for 10 days? On top of that, show accommodation in Stockholm for 10 nights with a nightly cap of 110 EUR. On top of that, i want culture and interesting sights in Stockholm; what do you recommend?",attractions|hotel|weather,multi
RT057296,hu,"Szeretnék viszonylag központi helyeket. Keress 25 EUR alatti belépőjű látnivalókat Madrid városában. A szállás már megvan, hotelt ne keress.",attractions,single
RT049470,hu,"Mielőtt mindent lefoglalok, Mutass szobákat Riga városában 7 éjre legfeljebb 200 euróért. És kell esernyőt vinnem Riga városába a következő 7 napra? Nem szeretnék felesleges kerülőket.",hotel|weather,multi
RT175112,en,"I'd like to stay fairly central. Give me the practical basics for Brussels: currency, language and timezone.",location,single
RT120052,hu,Kulturális programokat keresek Luxembourg városában. Nem szeretnék felesleges kerülőket.,attractions,single
RT190262,hu,Inkább praktikus megoldásokat keresek. Autó nélkül hogyan járjam be Thessaloniki városát? Ezután hol lehet jót enni Thessaloniki városában? Továbbá mivel töltenél el egy fél napot Thessaloniki városában? Első alkalommal megyek.,attractions|restaurant|transport,multi
RT145542,hu,Most járok ott először. Épp összeállítom a programomat. Mennyibe kerül a helyi közlekedés Thessaloniki városában 9 napra?,transport,single
RT091655,hu,Családdal utazom. Gyors utazási kérdés: Hol egyek London városában körülbelül 24 EUR/fő keretből?,restaurant,single
RT013461,hu,Várható eső Ljubljana környékén a 8 napos utam alatt?,weather,single
RT031005,en,"For an upcoming city break, What should I see in Istanbul? Also, what should I know about Istanbul before I arrive? I also need this: find restaurants in Istanbul, preferably Middle Eastern, rated at least 3.5. While you're at it, find somewhere to stay in Istanbul for 2 nights under 160 EUR per night. A short ranked list is enough.",attractions|hotel|location|restaurant,multi
RT223986,hu,"Mielőtt mindent lefoglalok, Kulturális programokból álló listát kérek Split városára. Ezután érkezés előtt milyen helyi alapokat tudjak Split városáról? Továbbá milyen időjáráshoz igazítsam a programot Split városában? Tartsd be a fenti kereteket.",attractions|location|weather,multi
RT042829,hu,"Rugalmas programot szeretnék. Mielőtt mindent lefoglalok, Hol lehet jót enni Riga városában?; mennyibe kerül a helyi közlekedés Riga városában 9 napra? És mit érdemes tudnom Riga városáról indulás előtt? Nem szeretnék felesleges kerülőket.",location|restaurant|transport,multi
RT129113,en,"I'm planning this for a quick getaway. I prefer practical options. I'm packing for Vilnius; what conditions should I expect for 9 days?; i need a 9-night hotel in Vilnius; keep it below 200 EUR and rating 4.7+. On top of that, give me dinner options in Vilnius with a budget around 45 EUR.",hotel|restaurant|weather,multi
RT068530,en,"I care more about value than luxury. Suggest places worth visiting in Paris with tickets under 35 EUR. Also, find good street-food restaurants in Paris under 18 EUR each.",attractions|restaurant,multi
RT083815,en,Help me plan this properly. Compare local public-transport tickets in Bologna for a 8-day trip. Then i need food recommendations in Bologna; keep meals below 36 EUR. I also need this: check the forecast in Bologna for my 8-day stay.,restaurant|transport|weather,multi
RT136934,hu,"rövid városnézés lesz. gyors utazási kérdés: ajánlj 4.2+ értékelésű szállást malta városában 110 eur alatt. arra is szükségem van, hogy várható eső malta környékén a 10 napos utam alatt?",hotel|weather,multi
RT202088,hu,"Utazást tervezek. Foglalj össze minden fontos helyi alapinformációt Berlin városáról. Ha már itt tartunk, hol vacsorázzak Berlin városában 48 euró körüli kerettel?",location|restaurant,multi
RT207297,hu,Rövid városnézés lesz. Foglalj össze minden fontos helyi alapinformációt Seville városáról.,location,single
RT008989,hu,Várható eső Oslo környékén a 6 napos utam alatt? Első alkalommal megyek.,weather,single
RT207212,hu,Rugalmas programot szeretnék. Mennyire lesz meleg vagy esős Oslo a 6 napos kiruccanás alatt?,weather,single
RT068573,hu,Utazást tervezek. Milyen tömegközlekedési bérletet érdemes venni Reykjavik városában 4 napra? Végül szükségem van egy jó szállásra Reykjavik városában 4 éjszakára.; adj alapvető helyi tudnivalókat Reykjavik városáról.,hotel|location|transport,multi
RT049688,en,"I'm planning this for a spring break. Before I book the rest of the trip, Is Copenhagen likely to be rainy during a 6-day visit? I also need this: what transit pass makes sense in Copenhagen for 6 days? Then tell me the local currency and timezone for Copenhagen. Please keep the answer concise.",location|transport|weather,multi
RT094071,hu,"Páros utazás lesz. Adj gyakorlati információkat Tallinn városáról: pénznem, nyelv és időzóna. Továbbá keress szállást Tallinn városában 7 éjszakára, 100 EUR/éj alatt. Ha már itt tartunk, autó nélkül hogyan járjam be Tallinn városát? Étteremajánlásra nincs szükségem.",hotel|location|transport,multi
RT039132,en,"I'm planning this for a spring break. Before I book the rest of the trip, Give me temperatures and rain chances for Venice for 8 days.",weather,single
RT039548,en,A practical question: What transit pass makes sense in Vilnius for 9 days? I also need this: i want culture and interesting sights in Vilnius; what do you recommend?,attractions|transport,multi
RT142781,en,Is Copenhagen likely to be rainy during a 3-day visit?,weather,single
RT027307,en,"I'm planning this for an upcoming trip. We're travelling as a couple. I'm putting together my itinerary. Estimate public transport costs in Amsterdam for 2 days. On top of that, give me dinner options in Amsterdam with a budget around 18 EUR. And what should I know about Amsterdam before I arrive?",location|restaurant|transport,multi
RT018633,en,"I'm planning a trip. Estimate public transport costs in Cologne for 5 days.; build a sightseeing list for Cologne, especially museums and landmarks.",attractions|transport,multi
RT098016,hu,"Milyen parkok, múzeumok és történelmi helyek vannak Skopje városában? És hol lehet jót enni Skopje városában? Arra is szükségem van, hogy milyen tömegközlekedési bérletet érdemes venni Skopje városában 10 napra? A szállás már megvan, hotelt ne keress.",attractions|restaurant|transport,multi
RT184420,hu,"Utazást tervezek. Milyen idő várható Naples városában 9 napig? Ha már itt tartunk, szükségem van egy jó szállásra Naples városában 9 éjszakára.",hotel|weather,multi
RT172193,en,"I'm planning this for a spring break. I'd like to stay fairly central. I'm putting together my itinerary. Find museums, parks or historic places in Stockholm. A short ranked list is enough.",attractions,single
RT036346,hu,Utazást tervezek. Szükségem van egy jó szállásra Zagreb városában 5 éjszakára.,hotel,single
RT180037,en,"Before I book the rest of the trip, Show accommodation in Sarajevo for 6 nights with a nightly cap of 220 EUR.",hotel,single
RT238502,hu,"Páros utazás lesz. Mielőtt mindent lefoglalok, Alkalmas lesz az idő szabadtéri programokra Helsinki városában? Emellett érkezés előtt milyen helyi alapokat tudjak Helsinki városáról? Étteremajánlásra nincs szükségem.",location|weather,multi
RT014001,en,"How should I get around Innsbruck for 1 days? Next, suggest places worth visiting in Innsbruck with tickets under 40 EUR.",attractions|transport,multi
RT012996,hu,"Még ebben a hónapban készülök. Mielőtt mindent lefoglalok, Várható eső Dubrovnik környékén a 1 napos utam alatt? A szállás már megvan, hotelt ne keress.",weather,single
RT062753,en,"I need practical local information about Krakow. Then find restaurants in Krakow, preferably Middle Eastern, rated at least 4.5. On top of that, check the forecast in Krakow for my 4-day stay. I already booked my hotel, so don't search accommodation.",location|restaurant|weather,multi
RT197618,hu,"Milyen körülményekre készüljek Krakkó városában a következő 3 nap során? Ezután kérek néhány jó étkezési lehetőséget Krakkó városában. Ha már itt tartunk, krakkó városában keresek alvóhelyet 3 éjre, éjszakánként legfeljebb 140 EUR-ért. Legyen inkább praktikus a válasz.",hotel|restaurant|weather,multi
RT191424,hu,"Egy tavaszi kiruccanásra készülök. Mielőtt mindent lefoglalok, Mit érdemes tudnom Róma városáról indulás előtt? Rövid, rangsorolt lista is elég.",location,single
RT158212,hu,"Egy gyakorlati kérdés: Autó nélkül hogyan járjam be Nice városát? Rövid, rangsorolt lista is elég.",transport,single
RT130948,hu,Nézd meg Bucharest 2 napos időjárás-előrejelzését.,weather,single
RT061742,en,"Is Lisbon likely to be rainy during a 3-day visit? Next, show metro, bus and pass options for Lisbon.",transport|weather,multi
RT056241,en,"I'm planning this for a spring break. I prefer practical options. Give me the practical basics for Reykjavik: currency, language and timezone.",location,single
RT146461,hu,"Rövid városnézés lesz. Mielőtt mindent lefoglalok, Milyen hőmérsékletre és csapadékra számítsak Prága városában? Első alkalommal megyek.",weather,single
RT157969,en,"I don't mind walking. Build a sightseeing list for Skopje, especially museums and landmarks. This is for a first visit.",attractions,single
