query_id,query,tool_labels,city,difficulty
CH000040,Legyen praktikus. Mivel töltenél el egy délutánt Vilnius városában? / Nem lesz autóm Vilnius városában; hogyan járjak? / Will the weather ruin outdoor plans in Vilnius?,attractions|transport|weather,Vilnius,indirect_noisy
CH000041,"Most leszek ott először. Should I pack an umbrella for Helsinki? Also, Érkezés előtt mik a legfontosabb helyi tudnivalók Helsinki városáról?",location|weather,Helsinki,indirect_noisy
CH000042,Kevés csomaggal megyek. Mivel töltenél el egy délutánt Riga városában?,attractions,Riga,indirect_noisy
CH000043,"This is my first time there. What practical facts should I know about Istanbul? / What would you not skip in Istanbul? Food is already arranged, so skip restaurant ideas.",attractions|location,Istanbul,indirect_noisy
CH000044,"A repülőjegy már megvan. Mi az, amit kár lenne kihagyni Copenhagen városában?",attractions,Copenhagen,indirect_noisy
CH000045,"Most leszek ott először. What practical facts should I know about Nice? Mi a legegyszerűbb módja, hogy bejárjam Nice városát?",location|transport,Nice,indirect_noisy
CH000046,Taxik nélkül hogyan közlekedjek Vilnius városában?,transport,Vilnius,indirect_noisy
CH000047,I'm flexible on timing. What practical facts should I know about Malta?,location,Malta,indirect_noisy
CH000048,I'm trying to travel light. Where would you actually go for dinner in Riga?,restaurant,Riga,indirect_noisy
CH000049,Az időzítés rugalmas. A szállás kérdése még nyitott Ljubljana városában.,hotel,Ljubljana,indirect_noisy
CH000050,Nem lesz autóm Naples városában; hogyan járjak,transport,Naples,indirect_noisy
CH000051,Az időzítés rugalmas. Gyors helyi eligazítást kérek Belgrade városáról.; Kabát vagy esernyő legyen nálam Belgrade városában?; Give me reasons to leave the hotel in Belgrade.,attractions|location|weather,Belgrade,indirect_noisy
CH000052,Would outdoor plans be risky in Valencia? What practical facts should I know about Valencia?,location|weather,Valencia,indirect_noisy
CH000053,Legyen praktikus. Érkezés előtt mik a legfontosabb helyi tudnivalók Stockholm városáról?,location,Stockholm,indirect_noisy
CH000054,This is my first time there. I haven't sorted a base in Istanbul yet.; Will the weather ruin outdoor plans in Istanbul?,hotel|weather,Istanbul,indirect_noisy
CH000055,I already have flights. I still need somewhere to sleep in Munich.,hotel,Munich,indirect_noisy
CH000056,"mi az, amit kár lenne kihagyni seville városában? / kellene egy jó hely enni seville városában.",attractions|restaurant,Seville,indirect_noisy
CH000057,I need a roof over my head in Marseille; I won't have a car in Marseille; how do I move around,hotel|transport,Marseille,indirect_noisy
CH000058,Miket néznél meg elsőként Nicosia városában? Elázhatok Nicosia városában?,attractions|weather,Nicosia,indirect_noisy
CH000059,Milyen alapinformációkat tudjak Salzburg városáról?; Nem lesz autóm Salzburg városában; hogyan járjak?,location|transport,Salzburg,indirect_noisy
CH000060,Érkezés előtt mik a legfontosabb helyi tudnivalók Luxembourg városáról?,location,Luxembourg,indirect_noisy
CH000061,Az időzítés rugalmas. Taxik nélkül hogyan közlekedjek Warsaw városában?,transport,Warsaw,indirect_noisy
CH000062,"This is my first time there. Brief me before I arrive in Bucharest. Also, What's the smartest way to get around Bucharest?",location|transport,Bucharest,indirect_noisy
CH000063,Keep it practical. Help me avoid taxis in Porto. I already have accommodation booked; don't search hotels.,transport,Porto,indirect_noisy
CH000064,"Most leszek ott először. Nem lesz autóm Bécs városában; hogyan járjak? / Give me the local basics before I land in Vienna. Az étkezés megvan, éttermet ne ajánlj.",location|transport,Vienna,indirect_noisy
CH000065,I'm flexible on timing. I haven't sorted a base in Tallinn yet.,hotel,Tallinn,indirect_noisy
CH000066,"I'm trying to travel light. Would outdoor plans be risky in Salzburg? Also, Fill an afternoon in Salzburg with worthwhile stops. Food is already arranged, so skip restaurant ideas.",attractions|weather,Salzburg,indirect_noisy
CH000067,Érkezés előtt mik a legfontosabb helyi tudnivalók Naples városáról?,location,Naples,indirect_noisy
CH000068,Kellene egy bázis Róma városában az éjszakákra. / Nem lesz autóm Róma városában; hogyan járjak?,hotel|transport,Rome,indirect_noisy
CH000069,"I already have flights. Would outdoor plans be risky in Budapest? Also, What practical facts should I know about Budapest?",location|weather,Budapest,indirect_noisy
CH000070,Miket néznél meg elsőként Edinburgh városában?,attractions,Edinburgh,indirect_noisy
CH000071,"Kellene egy jó hely enni Budapest városában. Also, Mi a legegyszerűbb módja, hogy bejárjam Budapest városát?",restaurant|transport,Budapest,indirect_noisy
CH000072,"Hol vacsoráznál Milan városában? Also, I won't have a car in Milan; how do I move around?",restaurant|transport,Milan,indirect_noisy
CH000073,Milyen alapinformációkat tudjak Milan városáról?,location,Milan,indirect_noisy
CH000074,Kevés csomaggal megyek. Nem lesz autóm Helsinki városában; hogyan járjak?,transport,Helsinki,indirect_noisy
CH000075,"What would you not skip in Skopje? Also, Would outdoor plans be risky in Skopje?",attractions|weather,Skopje,indirect_noisy
CH000076,Érkezés előtt mik a legfontosabb helyi tudnivalók Venice városáról?; Taxik nélkül hogyan közlekedjek Venice városában?,location|transport,Venice,indirect_noisy
CH000077,"Mi az, amit kár lenne kihagyni Split városában?",attractions,Split,indirect_noisy
CH000078,Milyen alapinformációkat tudjak Porto városáról?,location,Porto,indirect_noisy
CH000079,"I need a roof over my head in Lyon.; Give me the local basics before I land in Lyon.; I won't have a car in Lyon; how do I move around? Food is already arranged, so skip restaurant ideas.",hotel|location|transport,Lyon,indirect_noisy
CH000080,"Legyen praktikus. Szabadtéri programhoz milyen körülmények lesznek Helsinki városában? Az étkezés megvan, éttermet ne ajánlj.",weather,Helsinki,indirect_noisy
CH000081,Elázhatok Sofia városában?,weather,Sofia,indirect_noisy
CH000082,Gyors helyi eligazítást kérek Edinburgh városáról.,location,Edinburgh,indirect_noisy
CH000083,"Az időzítés rugalmas. Brief me before I arrive in Stockholm. Also, I need a roof over my head in Stockholm. Also, Elázhatok Stockholm városában?",hotel|location|weather,Stockholm,indirect_noisy
CH000084,I haven't sorted a base in Tirana yet.; Where would you actually go for dinner in Tirana?; Mivel töltenél el egy délutánt Tirana városában?,attractions|hotel|restaurant,Tirana,indirect_noisy
CH000085,I'm trying to travel light. Give me reasons to leave the hotel in Geneva.,attractions,Geneva,indirect_noisy
CH000086,Az időzítés rugalmas. Hová ülnél be enni Copenhagen városában? Érkezés előtt mik a legfontosabb helyi tudnivalók Copenhagen városáról?,location|restaurant,Copenhagen,indirect_noisy
CH000087,"Mi az, amit kár lenne kihagyni Párizs városában?",attractions,Paris,indirect_noisy
CH000088,Az időzítés rugalmas. Hová ülnél be enni Zurich városában? What's the smartest way to get around Zurich?,restaurant|transport,Zurich,indirect_noisy
CH000089,"Érkezés előtt mik a legfontosabb helyi tudnivalók Sofia városáról? Also, Help me avoid taxis in Sofia. Also, Hová ülnél be enni Sofia városában?",location|restaurant|transport,Sofia,indirect_noisy
CH000090,I already have flights. Would outdoor plans be risky in Gdansk? I already have accommodation booked; don't search hotels.,weather,Gdansk,indirect_noisy
CH000091,Legyen praktikus. Help me avoid taxis in Hamburg. A szállás kérdése még nyitott Hamburg városában.,hotel|transport,Hamburg,indirect_noisy
CH000092,Elázhatok Porto városában?; Help me avoid taxis in Porto.; Érkezés előtt mik a legfontosabb helyi tudnivalók Porto városáról?,location|transport|weather,Porto,indirect_noisy
CH000093,Will the weather ruin outdoor plans in Skopje?,weather,Skopje,indirect_noisy
CH000094,Gyors helyi eligazítást kérek Stockholm városáról.; I need a roof over my head in Stockholm.,hotel|location,Stockholm,indirect_noisy
CH000095,Milyen alapinformációkat tudjak Hamburg városáról?,location,Hamburg,indirect_noisy
CH000096,I'm trying to travel light. I still need somewhere to sleep in Sofia. / What practical facts should I know about Sofia? / Find me a table worth booking in Sofia.,hotel|location|restaurant,Sofia,indirect_noisy
CH000097,"Keep it practical. Help me avoid taxis in Prague. Food is already arranged, so skip restaurant ideas.",transport,Prague,indirect_noisy
CH000098,A repülőjegy már megvan. Kellene egy bázis Vilnius városában az éjszakákra.,hotel,Vilnius,indirect_noisy
CH000099,Kevés csomaggal megyek I won't have a car in Gdansk; how do I move around; Hová ülnél be enni Gdansk városában,restaurant|transport,Gdansk,indirect_noisy
CH000100,"Az időzítés rugalmas. Gyors helyi eligazítást kérek Budapest városáról.; Give me reasons to leave the hotel in Budapest. A szállás már megvan, hotelt ne keress.",attractions|location,Budapest,indirect_noisy
CH000101,"I still need somewhere to sleep in Malta. Also, What's the smartest way to get around Malta?",hotel|transport,Malta,indirect_noisy
CH000102,"Mi az, amit kár lenne kihagyni Belgrade városában?",attractions,Belgrade,indirect_noisy
CH000103,Milyen alapinformációkat tudjak Oslo városáról? What's the smartest way to get around Oslo?,location|transport,Oslo,indirect_noisy
CH000104,Az időzítés rugalmas. Miket néznél meg elsőként Hamburg városában?,attractions,Hamburg,indirect_noisy
CH000105,"Legyen praktikus. Mi az, amit kár lenne kihagyni Róma városában?; Am I likely to get soaked in Rome?",attractions|weather,Rome,indirect_noisy
CH000106,I already have flights. What practical facts should I know about Berlin? / Where would you actually go for dinner in Berlin? I already have accommodation booked; don't search hotels.,location|restaurant,Berlin,indirect_noisy
CH000107,Kevés csomaggal megyek. Miket néznél meg elsőként Stockholm városában?,attractions,Stockholm,indirect_noisy
CH000108,"Most leszek ott először. A szállás kérdése még nyitott Milan városában. Az étkezés megvan, éttermet ne ajánlj.",hotel,Milan,indirect_noisy
CH000109,Hová ülnél be enni Nicosia városában?,restaurant,Nicosia,indirect_noisy
CH000110,"Még nincs hol aludnom Zurich városában. / Give me the local basics before I land in Zurich. Az étkezés megvan, éttermet ne ajánlj.",hotel|location,Zurich,indirect_noisy
CH000111,"Mivel töltenél el egy délutánt Malta városában?; Would outdoor plans be risky in Malta? Az étkezés megvan, éttermet ne ajánlj.",attractions|weather,Malta,indirect_noisy
CH000112,Legyen praktikus. Mivel töltenél el egy délutánt Belgrade városában?,attractions,Belgrade,indirect_noisy
CH000113,"Find me a table worth booking in Paris. Also, Kabát vagy esernyő legyen nálam Párizs városában?",restaurant|weather,Paris,indirect_noisy
CH000114,I already have flights. What would you not skip in Geneva?,attractions,Geneva,indirect_noisy
CH000115,"A repülőjegy már megvan. What practical facts should I know about Bratislava? Also, Hol vacsoráznál Bratislava városában?",location|restaurant,Bratislava,indirect_noisy
CH000116,"I'm trying to travel light. Am I likely to get soaked in Split? Food is already arranged, so skip restaurant ideas.",weather,Split,indirect_noisy
CH000117,"Kellene egy bázis Brussels városában az éjszakákra. Also, What practical facts should I know about Brussels?",hotel|location,Brussels,indirect_noisy
CH000118,"Mi az, amit kár lenne kihagyni Innsbruck városában?",attractions,Innsbruck,indirect_noisy
CH000119,This is my first time there. I need a roof over my head in Brussels.,hotel,Brussels,indirect_noisy
CH000120,I need somewhere good to eat in Belgrade.,restaurant,Belgrade,indirect_noisy
CH000121,"Szabadtéri programhoz milyen körülmények lesznek Geneva városában? A szállás már megvan, hotelt ne keress.",weather,Geneva,indirect_noisy
CH000122,Az időzítés rugalmas. Elázhatok Athens városában?,weather,Athens,indirect_noisy
CH000123,Nem lesz autóm Edinburgh városában; hogyan járjak?,transport,Edinburgh,indirect_noisy
CH000124,I'm trying to travel light. Brief me before I arrive in Nicosia.,location,Nicosia,indirect_noisy
CH000125,I'm flexible on timing. I need somewhere good to eat in Warsaw.,restaurant,Warsaw,indirect_noisy
CH000126,Hová ülnél be enni Riga városában?; Give me reasons to leave the hotel in Riga.,attractions|restaurant,Riga,indirect_noisy
CH000127,Taxik nélkül hogyan közlekedjek Tirana városában?; I need a roof over my head in Tirana.,hotel|transport,Tirana,indirect_noisy
CH000128,"I haven't sorted a base in Vilnius yet. Mi az, amit kár lenne kihagyni Vilnius városában?",attractions|hotel,Vilnius,indirect_noisy
CH000129,Az időzítés rugalmas. Érkezés előtt mik a legfontosabb helyi tudnivalók Reykjavik városáról? Find me a table worth booking in Reykjavik. Nem lesz autóm Reykjavik városában; hogyan járjak?,location|restaurant|transport,Reykjavik,indirect_noisy
CH000130,I'm trying to travel light. Fill an afternoon in Amsterdam with worthwhile stops.,attractions,Amsterdam,indirect_noisy
CH000131,Legyen praktikus. Give me reasons to leave the hotel in Salzburg.; Should I pack an umbrella for Salzburg?; Kellene egy bázis Salzburg városában az éjszakákra.,attractions|hotel|weather,Salzburg,indirect_noisy
CH000132,"Gyors helyi eligazítást kérek Florence városáról. Also, I need a roof over my head in Florence. Also, Help me avoid taxis in Florence.",hotel|location|transport,Florence,indirect_noisy
CH000133,Kevés csomaggal megyek. Kabát vagy esernyő legyen nálam Milan városában?,weather,Milan,indirect_noisy
CH000134,Most leszek ott először. Hol vacsoráznál Sofia városában? / A szállás kérdése még nyitott Sofia városában.,hotel|restaurant,Sofia,indirect_noisy
CH000135,Az időzítés rugalmas. A szállás kérdése még nyitott Berlin városában.,hotel,Berlin,indirect_noisy
CH000136,Az időzítés rugalmas. Még nincs hol aludnom Hamburg városában.; Elázhatok Hamburg városában?,hotel|weather,Hamburg,indirect_noisy
CH000137,"Most leszek ott először. Give me reasons to leave the hotel in Warsaw. / Elázhatok Warsaw városában? A szállás már megvan, hotelt ne keress.",attractions|weather,Warsaw,indirect_noisy
CH000138,Az időzítés rugalmas. I need a roof over my head in Brussels.; Gyors helyi eligazítást kérek Brussels városáról.,hotel|location,Brussels,indirect_noisy
CH000139,"Legyen praktikus. Mi az, amit kár lenne kihagyni Luxembourg városában?",attractions,Luxembourg,indirect_noisy
CH000140,"This is my first time there. Give me the local basics before I land in Zurich. Also, Will the weather ruin outdoor plans in Zurich?",location|weather,Zurich,indirect_noisy
CH000141,I'm trying to travel light. I need somewhere good to eat in Porto.,restaurant,Porto,indirect_noisy
CH000142,Az időzítés rugalmas. Szabadtéri programhoz milyen körülmények lesznek Oslo városában?; Fill an afternoon in Oslo with worthwhile stops.,attractions|weather,Oslo,indirect_noisy
CH000143,"I need somewhere good to eat in Porto. Also, Mivel töltenél el egy délutánt Porto városában?",attractions|restaurant,Porto,indirect_noisy
CH000144,Give me reasons to leave the hotel in Tirana.,attractions,Tirana,indirect_noisy
CH000145,A repülőjegy már megvan. Kellene egy bázis Madrid városában az éjszakákra.; Help me avoid taxis in Madrid.,hotel|transport,Madrid,indirect_noisy
CH000146,I already have flights. I won't have a car in Reykjavik; how do I move around? Fill an afternoon in Reykjavik with worthwhile stops.,attractions|transport,Reykjavik,indirect_noisy
CH000147,"A repülőjegy már megvan. Szabadtéri programhoz milyen körülmények lesznek Budapest városában?; Hová ülnél be enni Budapest városában?; Mi az, amit kár lenne kihagyni Budapest városában?",attractions|restaurant|weather,Budapest,indirect_noisy
CH000148,This is my first time there. Would outdoor plans be risky in Florence?,weather,Florence,indirect_noisy
CH000149,Give me reasons to leave the hotel in Istanbul.,attractions,Istanbul,indirect_noisy
CH000150,Keep it practical. I need a roof over my head in Seville. What practical facts should I know about Seville? What would you not skip in Seville?,attractions|hotel|location,Seville,indirect_noisy
CH000151,"Will the weather ruin outdoor plans in Tallinn? Also, Give me reasons to leave the hotel in Tallinn.",attractions|weather,Tallinn,indirect_noisy
CH000152,What would you not skip in Milan?; What's the smartest way to get around Milan?,attractions|transport,Milan,indirect_noisy
CH000153,What's the smartest way to get around Zagreb?; Érkezés előtt mik a legfontosabb helyi tudnivalók Zagreb városáról?,location|transport,Zagreb,indirect_noisy
CH000154,"Kevés csomaggal megyek. Hol vacsoráznál Skopje városában? A szállás már megvan, hotelt ne keress.",restaurant,Skopje,indirect_noisy
CH000155,I'm flexible on timing. I still need somewhere to sleep in Brussels.,hotel,Brussels,indirect_noisy
CH000156,Give me reasons to leave the hotel in Brussels.,attractions,Brussels,indirect_noisy
CH000157,Elázhatok Cologne városában?,weather,Cologne,indirect_noisy
CH000158,I'm trying to travel light. Help me avoid taxis in Gdansk.,transport,Gdansk,indirect_noisy
CH000159,Keep it practical. What practical facts should I know about Naples?,location,Naples,indirect_noisy
CH000160,I already have flights. I need somewhere good to eat in London.,restaurant,London,indirect_noisy
CH000161,"Mi a legegyszerűbb módja, hogy bejárjam Madrid városát? / Give me the local basics before I land in Madrid.",location|transport,Madrid,indirect_noisy
CH000162,"Az időzítés rugalmas. Mi az, amit kár lenne kihagyni Bologna városában? Hová ülnél be enni Bologna városában? Elázhatok Bologna városában?",attractions|restaurant|weather,Bologna,indirect_noisy
CH000163,Miket néznél meg elsőként Seville városában?; Brief me before I arrive in Seville.,attractions|location,Seville,indirect_noisy
CH000164,Keep it practical. Should I pack an umbrella for Innsbruck?,weather,Innsbruck,indirect_noisy
CH000165,"Find me a table worth booking in Luxembourg. Also, A szállás kérdése még nyitott Luxembourg városában.",hotel|restaurant,Luxembourg,indirect_noisy
CH000166,I already have flights. Find me a table worth booking in Belgrade.,restaurant,Belgrade,indirect_noisy
CH000167,A repülőjegy már megvan. Hová ülnél be enni Thessaloniki városában?; I still need somewhere to sleep in Thessaloniki.,hotel|restaurant,Thessaloniki,indirect_noisy
CH000168,Mivel töltenél el egy délutánt Róma városában?,attractions,Rome,indirect_noisy
CH000169,Az időzítés rugalmas. Nem lesz autóm Dubrovnik városában; hogyan járjak? Milyen alapinformációkat tudjak Dubrovnik városáról?,location|transport,Dubrovnik,indirect_noisy
CH000170,Brief me before I arrive in Porto.,location,Porto,indirect_noisy
CH000171,This is my first time there. What's the smartest way to get around Split?,transport,Split,indirect_noisy
CH000172,Legyen praktikus. I need a roof over my head in Krakow. / Hová ülnél be enni Krakkó városában?,hotel|restaurant,Krakow,indirect_noisy
CH000173,"I'm trying to travel light. What practical facts should I know about Zagreb? Also, I need somewhere good to eat in Zagreb. Also, Will the weather ruin outdoor plans in Zagreb?",location|restaurant|weather,Zagreb,indirect_noisy
CH000174,Most leszek ott először. Should I pack an umbrella for Innsbruck? Nem lesz autóm Innsbruck városában; hogyan járjak?,transport|weather,Innsbruck,indirect_noisy
CH000175,Hová ülnél be enni Bucharest városában?,restaurant,Bucharest,indirect_noisy
CH000176,Most leszek ott először. Nem lesz autóm Bologna városában; hogyan járjak? Szabadtéri programhoz milyen körülmények lesznek Bologna városában?,transport|weather,Bologna,indirect_noisy
CH000177,A repülőjegy már megvan. I still need somewhere to sleep in Milan. Kellene egy jó hely enni Milan városában.,hotel|restaurant,Milan,indirect_noisy
CH000178,I still need somewhere to sleep in Zurich. / Mivel töltenél el egy délutánt Zurich városában?,attractions|hotel,Zurich,indirect_noisy
CH000179,I already have flights. Fill an afternoon in Helsinki with worthwhile stops.,attractions,Helsinki,indirect_noisy
CH000180,"Where would you actually go for dinner in Stockholm? Also, Gyors helyi eligazítást kérek Stockholm városáról.",location|restaurant,Stockholm,indirect_noisy
CH000181,This is my first time there. I won't have a car in Skopje; how do I move around? / Where would you actually go for dinner in Skopje? I already have accommodation booked; don't search hotels.,restaurant|transport,Skopje,indirect_noisy
CH000182,Miket néznél meg elsőként Luxembourg városában?,attractions,Luxembourg,indirect_noisy
CH000183,Give me the local basics before I land in London.; Am I likely to get soaked in London?; I still need somewhere to sleep in London.,hotel|location|weather,London,indirect_noisy
CH000184,"Most leszek ott először. Taxik nélkül hogyan közlekedjek Vilnius városában? Also, Kellene egy bázis Vilnius városában az éjszakákra.",hotel|transport,Vilnius,indirect_noisy
CH000185,Kevés csomaggal megyek. Nem lesz autóm Prága városában; hogyan járjak?,transport,Prague,indirect_noisy
CH000186,"Legyen praktikus. Mi a legegyszerűbb módja, hogy bejárjam Prága városát?",transport,Prague,indirect_noisy
CH000187,Most leszek ott először. Milyen alapinformációkat tudjak Oslo városáról?; Kabát vagy esernyő legyen nálam Oslo városában?,location|weather,Oslo,indirect_noisy
CH000188,Hová ülnél be enni Bologna városában? / Milyen alapinformációkat tudjak Bologna városáról?,location|restaurant,Bologna,indirect_noisy
CH000189,Most leszek ott először. Milyen alapinformációkat tudjak Thessaloniki városáról?,location,Thessaloniki,indirect_noisy
CH000190,"Érkezés előtt mik a legfontosabb helyi tudnivalók Riga városáról? Also, Miket néznél meg elsőként Riga városában?",attractions|location,Riga,indirect_noisy
CH000191,I'm trying to travel light. I need a roof over my head in Tirana.,hotel,Tirana,indirect_noisy
CH000192,Legyen praktikus. Mivel töltenél el egy délutánt Bologna városában? / I haven't sorted a base in Bologna yet.,attractions|hotel,Bologna,indirect_noisy
CH000193,Érkezés előtt mik a legfontosabb helyi tudnivalók Dubrovnik városáról?,location,Dubrovnik,indirect_noisy
CH000194,Szabadtéri programhoz milyen körülmények lesznek Dubrovnik városában?; I still need somewhere to sleep in Dubrovnik.,hotel|weather,Dubrovnik,indirect_noisy
CH000195,Most leszek ott először. Még nincs hol aludnom Budapest városában.,hotel,Budapest,indirect_noisy
CH000196,Legyen praktikus. Elázhatok Bucharest városában?,weather,Bucharest,indirect_noisy
CH000197,Legyen praktikus. Milyen alapinformációkat tudjak Nicosia városáról? / I need a roof over my head in Nicosia.,hotel|location,Nicosia,indirect_noisy
CH000198,"Most leszek ott először. Mi a legegyszerűbb módja, hogy bejárjam Sarajevo városát? / Milyen alapinformációkat tudjak Sarajevo városáról? / Még nincs hol aludnom Sarajevo városában.",hotel|location|transport,Sarajevo,indirect_noisy
CH000199,"Most leszek ott először. What practical facts should I know about Split? Also, Nem lesz autóm Split városában; hogyan járjak?",location|transport,Split,indirect_noisy
CH000200,Give me the local basics before I land in Innsbruck.; Kabát vagy esernyő legyen nálam Innsbruck városában?; I need somewhere good to eat in Innsbruck.,location|restaurant|weather,Innsbruck,indirect_noisy
CH000201,Should I pack an umbrella for Lisbon? / Where would you actually go for dinner in Lisbon?,restaurant|weather,Lisbon,indirect_noisy
CH000202,"Az időzítés rugalmas. Mi a legegyszerűbb módja, hogy bejárjam Istanbul városát? Also, Give me the local basics before I land in Istanbul.",location|transport,Istanbul,indirect_noisy
CH000203,"Gyors helyi eligazítást kérek Marseille városáról. Also, Give me reasons to leave the hotel in Marseille.",attractions|location,Marseille,indirect_noisy
CH000204,I already have flights. I haven't sorted a base in Brussels yet.; Should I pack an umbrella for Brussels?,hotel|weather,Brussels,indirect_noisy
CH000205,I'm trying to travel light. Fill an afternoon in Berlin with worthwhile stops. / Am I likely to get soaked in Berlin?,attractions|weather,Berlin,indirect_noisy
CH000206,What's the smartest way to get around Brussels? / Milyen alapinformációkat tudjak Brussels városáról? / Elázhatok Brussels városában?,location|transport|weather,Brussels,indirect_noisy
CH000207,Kellene egy bázis Istanbul városában az éjszakákra.,hotel,Istanbul,indirect_noisy
CH000208,I still need somewhere to sleep in Tirana. Should I pack an umbrella for Tirana?,hotel|weather,Tirana,indirect_noisy
CH000209,"Az időzítés rugalmas. Miket néznél meg elsőként Lyon városában? Help me avoid taxis in Lyon. A szállás már megvan, hotelt ne keress.",attractions|transport,Lyon,indirect_noisy
CH000210,Az időzítés rugalmas. Kellene egy jó hely enni Salzburg városában.,restaurant,Salzburg,indirect_noisy
